BLOOM,CRF
execução de pavimentação Recapeamento asfáltica em CBUQ da Rua Ary Raimundo de Souza e Rua Ivone de Oliveira Pereira Bairro Vista Alegre Rodeiro MG,pavimentação Recapeamento asfáltica em CBUQ da Rua Ary Raimundo de Souza e Rua Ivone de Oliveira Pereira Bairro Vista Alegre Rodeiro MG
Leite Pasteurizado tipo C,Leite Pasteurizado tipo C de forma parcelada
Aquisição de materiais de apóio pedagógico,materiais de apóio pedagógico
refeições marmitex e lanches,refeições marmitex e lanches na cidade de Unaí
MATERIAL HOSPITALAR,
contratação de cartórios de notas para prestação de serviços de autenticações de cópias de documentos e reconhecimento de assinaturas,
show artístico com a banda “ SAMBA DA PRETA ” durante a realização do “ Carnaval Bom Demais em Minas Novas ” nas Avenidas e centro da cidade,show artístico com a banda “ SAMBA DA PRETA
COMBUSTÍVEL PARA ATENDER A FROTA MUNICIPAL E CONVENIADOS,AQUISIÇÃO DE COMBUSTÍVEL PARA ATENDER A FROTA MUNICIPAL E CONVENIADOS
"FAIXA IMPRESSAO DIGITAL 10 * 1 Valor unit 215,6017",FAIXA IMPRESSAO DIGITAL 10 * 1
etanol,
REGISTRO DE PREÇOS VISANDO AQUISIÇÃO FUTURA DE MEDICAMENTOS DE REFERÊNCIA em atendimento aos processos judiciais,MEDICAMENTOS DE REFERÊNCIA
prestação de serviços de engenharia,prestação de serviços de engenharia para atender as necessidades da esfera Administrativa Municipal
Registro de preços para eventual e futura contratação de mão de obra especializada em mecânica e feixe de mola,
MANUTENÇÃO DE VIAS PÚBLICAS EM DIVERSAS RUAS DO MUNICÍPIO DE JOÃO MONLEVADE,
Registro de Preços para eventual contratação de mão de obra especializada para manutenção da frota municipal,mão de obra especializada para manutenção da frota municipal
MATERIAL FUNERÁRIO E SERVIÇO FUNERÁRIO,REGISTRAR PREÇOS PARA EVENTUAL FORNECIMENTO DE MATERIAL FUNERÁRIO E SERVIÇO FUNERÁRIO DE ACORDO COM A PLANILHA DE ESPECIFICAÇÕES
Aquisição de estantes de aço,
AQUISIÇÃO DE GENÊROS ALIMENTICIOS DA AGRICULTURA FAMILIAR PARA O COMPLEMENTO E REFORÇO DA MERENDA ESCOLAR NO MUNICIPIO DE GRÃO MOGOL,GENÊROS ALIMENTICIOS DA AGRICULTURA FAMILIAR PARA O COMPLEMENTO E REFORÇO DA MERENDA ESCOLAR NO MUNICIPIO DE GRÃO MOGOL
passagens com destino de Buritis MG a Unaí MG,
INTERNET BANDA LARGA E INTRANET,CONTRATAÇÃO CONJUNTA DE EMPRESA ESPECIALIZADA PARA OFERECER SERVIÇOS DE INTERNET BANDA LARGA E INTRANET PARA AS UNIDADES ADMINISTRATIVAS DO MUNICÍPIO
canalização de águas pluviais,
Farmácia de Minas,
fornecimento de hortifrutigranjeiros,hortifrutigranjeiros
material pedagógico,
Cesta Básica,Cesta Básica para distribuição à famílias carentes no município de Mar de Espanha no exercício de 2014
tecidos diversos e derivados,
recarga de gás de cozinha e aquisição de botijão P13,botijão P13
Contratação de empresa especializada para prestação de serviços de análise de água em cumprimento à Portaria 2.914/2011 do Ministério da Saúde e análise de efluente da ETE,Contratação de empresa especializada para prestação de serviços de análise de água
Prestação de serviços de conserto de motor elétrico – 5 CV – do lavador de autos do Almoxarifado Central,Prestação de serviços de conserto de motor elétrico – 5 CV
Registro de preço para confecção de prótese dentária,confecção de prótese dentária
CONTRATAÇÃO DE SERVIÇOS DE NUTRICIONISTA,
materiais de construção,materiais de construção para ampliação de prédio público do Município
"SOGAS LTDA – EPP vencedora nos itens 01 e 10 no valor de R $ 5.980,00",
OXIFOR OXIGENIO FORMIGA LTDA – EPP,
aquisição de peças,peças
Notebook,
Contratação de mão de obra especializada de operador de maquina pesada emergencial devido o período de chuva,mão de obra especializada de operador de maquina pesada emergencial devido o período de chuva
EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DE MURO DE CONTENÇÃO no Bairro Nova Esperança,MURO DE CONTENÇÃO
Headset Elgin HST 6000,um Headset Elgin HST 6000
Aquisição de gêneros alimentícios,
manutençãoem impressora portátil,
veículo de passeio para suprir as necessidades do Gabinete do Prefeito conforme quantidade e especificação contida no Termo de Referência,veículo de passeio
Aquisição de Reagentes e Vidrarias para análises de água,Reagentes e Vidrarias para análises de água
Prestação de serviços de Engenharia Civil em atendimento a Secretaria Municipal de Obras da Prefeitura Municipal de Santa Efigênia de Minas,Prestação de serviços de Engenharia Civil em atendimento a Secretaria Municipal de Obras da
PROCESSO LICITATÓRIO Nº 049/2015 REGISTRO DE PREÇOS Nº 020/2015 OBJETO,
SHOW ARTÍSTICO COM DIMAS E SEUS TECLADOS,SHOW ARTÍSTICO COM DIMAS E SEUS TECLADOS DURANTE A REALIZAÇÃO NO QUE TANGE AS FESTIVIDADES CULTURAIS NA COMUNIDADE DE FORQUILHA
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS PARA ATENDER OS DIVERSOS SETORES DA ADMINISTRAÇÃO MUNICIPAL,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS
Prestação de serviço de produção de vídeos documentários e informe publicitário,
brigadistas,
marmitex,marmitex e refrigerantes
HOSPEDAGEM,HOSPEDAGEM PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE SAÚDE E PLANEJAMENTOS E FINANÇAS
PANIFICAÇÃO,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE PRODUTOS DE PANIFICAÇÃO
agência de publicidade,serviços de agência de publicidade
Caminhão pipa,Locação de Caminhão pipa
Quadra Poliesportiva coberta,Contratação de empresa especializada para fornecimento de materiais e prestação de serviços de obra de engenharia para construção de uma Quadra Poliesportiva coberta
material de consumo a ser utilizado na distribuição de alimentação durante o Carnaval 2017,aquisição de material de consumo a ser utilizado na distribuição de alimentação durante o Carnaval 2017
MANUTENÇÃO E MONTAGEM DO PAINEL ELÉTRICO DA ESTAÇÃO ELEVATÓRIA DE ESGOTO BAIRRO LA VILLE,Aquisição de peças e mão de obra para MANUTENÇÃO E MONTAGEM DO PAINEL ELÉTRICO DA ESTAÇÃO ELEVATÓRIA DE ESGOTO BAIRRO LA VILLE
CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DE SEDE DA ESCOLA MUNICIPAL “ RETIRO DO LIMOEIRO ” NO DISTRITO DE RIBEIRÃO,CONSTRUÇÃO DE SEDE DA ESCOLA MUNICIPAL “ RETIRO DO LIMOEIRO ” NO DISTRITO DE RIBEIRÃO DE TRAS
Pavimentação Asfáltica e Drenagem Pluvial no Bairro Ipanema,Prestação de serviços para execução da obra de Pavimentação Asfáltica e Drenagem Pluvial no Bairro Ipanema
material hidráulico para todas as Secretarias Municipais,Fornecimento de material hidráulico para todas as Secretarias Municipais
caminhão prancha,prestação de serviços de até 250 viagens de caminhão prancha
herbicidas para limpeza das estradas e vias do município,
Serviços de Segurança,prestação de Serviços de Segurança nos dias 02 a 05 de março de 2019
Contratações de empresas especializadas nas prestações de serviços de confecções de prótese odontológicas totais e parciais removíveis,
Palco e Som,locação e montagem de estrutura de Palco e Som para o Festival Multicultural de Natal 2017
MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS ODONTOLÓGICOS,
SERVIÇOS DE TELECOMUNICAÇÃO,
BIPAP,aparelho BIPAP para a requerente Nicéia Antunes de Castro Rosa
confecção de uniformes e bonés,uniformes e bonés
fralda e material de higiene para distribuição a pessoas carentes do município,fralda e material de higiene
aquisição de grama esmeralda para a Secretaria Municipal de Meio Ambiente e Desenvolvimento Rural,grama esmeralda para a Secretaria Municipal de Meio Ambiente e Desenvolvimento Rural
Sistema simplificado de abastecimento de água e Construção de Poço Artesiano na comunidade de Souza,contratação de empresa de engenharia para execução das obras de “ Sistema simplificado de abastecimento de água e Construção de Poço Artesiano
30.250 horas de serviço técnico,
Serviços Funerários,
PELO PERIODO DE 02,
Ultrassom Morfológico,
fornecimento eventual e parcelado de gás GLP P13 e P45,gás GLP P13 e P45
papel alcalino A-4,
panetones,
serviços correlatos à atividade de serralheiro e pedreiro,prestação de serviços correlatos à atividade de serralheiro e pedreiro
Certidão Negativa de Débitos Trabalhistas,
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA AMPLIAÇÃO DA 3ª BAIA NA CONSTRUÇÃO DO TERMINAL RODOVIÁRIO DE GUARDA MOR,CONSTRUÇÃO CIVIL PARA AMPLIAÇÃO DA 3ª BAIA NA CONSTRUÇÃO DO TERMINAL RODOVIÁRIO DE GUARDA MOR
Médico Plantonista,
Bombas Diesel Bom Despacho LTDA- EPP- CNPJ,
construção de uma unidade de Educação Infantil e obras complementares no bairro São Bernardo em Santa Bárbara,unidade de Educação Infantil e obras complementares no bairro São Bernardo
ARQUIBANCADAS USDAS EM BOM ESTADO DE CONSERVAÇÃO- BLOCO DE 20 METROS- FABRICADAS COM TUBOS GALVANIZADOS OU FERRO GI,
Medicamentos Genéricos,
Medicamentos Similares,
NELSON JOSÉ MOREIRA,
inspeção veicular,inspeção veicular do Inmetro para os veículos utilizados pelo setor de educação e de obras públicas
equipamento de coagulação e reagentes,
prestação de serviços de lavagem de veículos leves e pesados,lavagem de veículos leves e pesados
medicamentos e dieta enteral,medicamentos e dieta enteral decorrentes de decisão judicial e para pacientes do CAPS
SERVIÇO DE PINTURA NO PRÉDIO DA CASA DE QUÍMICA NA ESTAÇÃO DE TRATAMENTO DE ÁGUA E NO TANQUE DE FIBRA,SERVIÇO DE PINTURA NO PRÉDIO DA CASA DE QUÍMICA
caminhão carroceria ¾ para atender a Secretaria de Desenvolvimento Urbano no trabalho de limpeza de bueiros,Locação de caminhão carroceria ¾
carnês de IPTU,confecção de carnês de IPTU
SEGURANÇA DESARMADA,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE SEGURANÇA DESARMADA
tela de arame galvanizado para manutenção das atividades da Prefeitura Municipal de Santo Antônio do Aventureiro,tela de arame galvanizado
HIDROTERAPIA,SERVIÇOS ESPECIALIZADOS EM HIDROTERAPIA
Execução de serviços de mão de obra qualificada para realização de reparos mecânicos,Execução de serviços de mão de obra qualificada para realização de reparos mecânicos para manutenção dos veículos de propriedade do Município
EM RECOMPOSIÇÃO PARALELEPÍPEDO OU BLOQUETE,
equipamentos eletrônicos,
LINHA 02,
LINHA 02,
CLÍNICAS PARA EXAMES ESPECÍFICOS E MÉDICOS ESPECIALISTAS EM ULTRASSONOGRAFIA,CREDENCIAMENTO DE CLÍNICAS PARA EXAMES ESPECÍFICOS E MÉDICOS ESPECIALISTAS EM ULTRASSONOGRAFIA
Gêneros Alimentícios da Agricultura Familiar – Empreendedor Rural – e de suas organizações,
coffee break,Registro de preços para futura e eventual contratação de empresa especializada na prestação de serviço de organização e fornecimento de coffee break e lanche
Zé Felipe,
HORTIFRUTIGRANJEIROS,HORTIFRUTIGRANJEIROS para o ano de 2.017
Bloquete,Bloquete para atender todas as necessidades municipais para pavimentação e calçamento de vias públicas de Divinésia
prestação de serviços de recargas de oxigênio medicinal de 1Mᶾ e 7Mᶾ,recargas de oxigênio medicinal de 1Mᶾ e 7Mᶾ
4200 horas de serviços de divulgação volante de matérias de utilidade pública e interesse do município,
para atender as necessidades das creches do Município de Tupaciguara,
conforme quantidades,
serviços de propaganda volante,
veículo para transporte de estudantes da rede municipal de ensino,Contratação de veículo para transporte de estudantes da rede municipal de ensino
Contratação de empresa do ramo para aquisição de peças e equipamentos para construção do poço tubular para captação de água subterrânea no bairro PIER,peças e equipamentos para construção do poço tubular para captação de água subterrânea no bairro PIER
execução de serviços de qualificação de vias,
CREDENCIAMENTO DE JORNAIS DE CIRCULAÇÃO REGIONAL PARA PUBLICAÇÕES DE ATOS ADMINISTRATIVOS DO MUNICÍPIO,
POLIMENTO DO PISO DAS SEGUINTES QUADRAS,PRORROGAÇÃO DE PRAZO DO CONTRATO PARA POLIMENTO DO PISO DAS SEGUINTES QUADRAS
máquina cortadora de concreto e asfalto,máquina cortadora de concreto e asfalto e bebedouro industrial
bebedouro industrial,máquina cortadora de concreto e asfalto e bebedouro industrial
SERVIÇOS TÉCNICOS ESPECIALIZADOS,
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA VISANDO A INSTALAÇÃO DE SISTEMA DE ANTIVIRUS NOS COMPUTADORES E SERVIÇOS DE BACKUP DOS SERVIDORES PATRIMONIADOS,SISTEMA DE ANTIVIRUS NOS COMPUTADORES E SERVIÇOS DE BACKUP DOS SERVIDORES PATRIMONIADOS NO MUNICÍPIO SE PIRAJUBA MG
Show Artístico,Serviços Profissionais – Show Artístico
HOSPEDAGEM,HOSPEDAGEM NO MUNICÍPIO DE PERDIGÃO PARA ATENDER AS SECRETARIAS MUNICIPAIS
Pregão Presencial nº 050/2014,
MÓVEIS DE MADEIRA E AÇO,
AQUISIÇÃO DE FOGOS DE ARTIFÍCIOS,FOGOS DE ARTIFÍCIOS
caminhão com motorista destinado a dar apoio operacional as demandas da Secretaria Municipal de Desenvolvimento Urbano e Rural,locação de caminhão com motorista destinado a dar apoio operacional as demandas da Secretaria Municipal de Desenvolvimento Urbano e Rural Diamantina
Locação sonorização pequeno e médio porte para realização de eventos das secretarias do Município de Pescador para atender diversas secretarias do município de Pescador MG ”,Locação sonorização pequeno e médio porte para realização de eventos das secretarias do Município de Pescador para atender diversas secretarias do município de Pescador MG
Gêneros Alimentícios da Agricultura Familiar e do Empreendedor Rural para Alimentação Escolar,Empreendedor Rural para Alimentação Escolar
fornecimento de gêneros alimentícios para desjejum de servidores públicos municipais,Registro de preço para fornecimento de gêneros alimentícios para desjejum de servidores públicos municipais
Registro de preços para futuro e eventual fornecimento de combustíveis para manutenção da frota de veículos do Município de Ataléia,combustíveis para manutenção da frota de veículos do Município de Ataléia
PATRULHA MECANIZADA – CAMINHÃO CAÇAMBA,CAMINHÃO CAÇAMBA
Fornecimento refeição pronta no sistema “ Self Service ” por peso,
grama sintética e piso emborrachado,
materiais elétricos e eletrônicos devidamente instalados,Registro de Preço de materiais elétricos e eletrônicos devidamente instalados
para serem utilizados em sistema de segurança,
APS ASSESSORIA E PRESTAÇÃO DE SERVIÇOS LTDA- ME,
CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS CONFORME NORMAS DA CEMIG,
contratação de profissional especializado para execução e acompanhamento de serviços ambientais,
Camisa malha Drifit Poliamida,
combustíveis e derivados,
prestação de serviço de telefonia fixa pós paga,Contratação de empresa para prestação de serviço de telefonia fixa pós paga
